location,n_vaccinated,perc_of_pop
World[e],"555,133,001",7.1%
United States,"139,978,480",41.9%
China[f],"224,901,000",--
India,"121,361,009",10%
EU,"95,423,933",21.4%
United Kingdom,"33,666,638",49.6%
Brazil,"26,873,143",12.6%
Germany,"19,486,698",23.3%
Turkey,"13,171,984",15.6%
France,"14,032,747",20.6%
Italy,"12,548,046",20.8%
Mexico,"12,038,498",9.3%
Indonesia,"11,741,559",4.3%
Russia,"11,362,893",7.8%
Canada,"11,283,434",29.7%
Spain,"10,403,462",22.2%
Poland,"7,765,723",20.5%
Chile,"7,953,379",41.6%
Israel,"5,383,569",62.2%
United Arab Emirates[f],"10,215,846",--
Morocco,"4,723,635",12.8%
Saudi Arabia[f],"8,235,166",--
Bangladesh,"5,798,880",3.5%
Argentina,"6,263,849",13.9%
Hungary,"3,603,901",37.3%
Netherlands[f],"5,128,167",--
Romania,"3,037,698",15.8%
Colombia,"3,008,636",5.9%
Belgium,"2,682,515",23.1%
Serbia,"1,944,492",28.6%
Portugal,"2,194,527",21.5%
Austria,"2,045,677",22.7%
Czech Republic,"1,876,948",17.5%
Greece,"2,004,512",19.2%
Sweden,"2,086,142",20.7%
Japan,"1,839,356",1.4%
South Korea,"2,266,888",4.4%
Switzerland,"1,453,331",16.8%
Singapore,"1,364,124",23.3%
Cambodia,"1,295,660",7.8%
Nepal,"1,989,248",6.8%
Australia[f],"1,934,077",--
Denmark,"1,207,341",20.8%
Philippines,"1,522,696",1.4%
Finland,"1,529,600",27.6%
Uruguay,"1,123,099",32.3%
Dominican Republic,"909,898",8.4%
Norway,"1,189,900",21.9%
Slovakia,"1,024,688",18.8%
Azerbaijan,"939,098",9.3%
Qatar[f],"1,415,761",--
Peru,"841,916",2.5%
Ireland,"987,681",20.0%
Malaysia,"800,996",2.5%
Pakistan,"1,300,000",0.6%
Hong Kong,"842,760",11.2%
Bahrain,"659,990",38.8%
Nigeria,"1,167,837",0.6%
Thailand,"972,204",1.4%
Myanmar,"1,000,000",1.8%
Kazakhstan,"858,566",4.6%
Sri Lanka,"925,242",4.3%
