location,n_vaccinated,perc_of_pop
World[e],"515,309,899",6.6%
United States,"133,266,995",39.9%
China[f],"195,022,000",--
India,"109,659,181",8.0%
EU,"86,283,794",19.4%
United Kingdom,"33,032,120",48.7%
Brazil,"24,805,515",11.7%
Germany,"17,288,804",20.6%
Turkey,"12,426,580",14.7%
France,"12,766,311",18.7%
Indonesia,"11,116,253",4.1%
Russia,"10,341,593",7.1%
Italy,"11,240,175",18.6%
Mexico,"11,253,761",8.7%
Chile,"7,777,919",40.7%
Spain,"9,588,913",20.5%
Canada,"9,840,205",25.9%
Israel,"5,362,917",62.0%
Poland,"6,868,703",18.1%
Morocco,"4,684,557",12.7%
Bangladesh,"5,745,085",3.5%
Saudi Arabia[f],"7,413,220",--
Argentina,"5,620,411",12.4%
United Arab Emirates,"5,081,853",51.4%
Hungary,"3,363,596",34.8%
Netherlands,"3,635,235",21.2%
Romania,"2,675,872",13.9%
Colombia,"2,678,773",5.3%
Serbia,"1,868,861",27.5%
Belgium,"2,341,297",20.2%
Portugal,"2,035,879",20.0%
Greece,"1,826,618",17.5%
Sweden,"1,895,912",18.8%
Czech Republic,"1,688,552",15.8%
Austria,"1,818,853",20.2%
Singapore,"1,364,124",23.3%
Japan,"1,389,913",1.1%
Switzerland,"1,326,196",15.3%
South Korea,"1,771,407",3.5%
Cambodia,"1,277,688",7.6%
Nepal[f],"1,700,000",--
Australia[f],"1,653,286",--
Denmark,"1,097,436",18.9%
Philippines[f],"1,562,563",--
Dominican Republic,"909,898",8.4%
Finland,"1,346,684",24.3%
Uruguay,"1,081,873",31.1%
Norway,"1,068,342",19.7%
Azerbaijan,"899,213",8.9%
Slovakia,"972,855",17.8%
Pakistan,"1,300,000",0.6%
Qatar[f],"1,296,520",--
Peru,"746,534",2.3%
Ireland,"855,512",17.3%
Malaysia,"726,411",2.2%
Hong Kong,"758,679",10.1%
Bahrain,"627,047",36.9%
Nigeria,"1,101,827",0.5%
Myanmar,"1,000,000",1.8%
Sri Lanka,"925,242",4.3%
Kazakhstan,"733,980",3.9%
Kuwait,"822,000",19.2%
Lithuania,"580,875",21.3%
Ghana,"787,180",2.5%
Costa Rica,"450,593",8.8%
Croatia,"553,883",13.5%
Thailand,"571,825",0.8%
Jordan,"543,095",5.3%
Bulgaria,"521,956",7.5%
Kenya,"651,650",1.2%
Mongolia[f],"637,415",--
Iran,"480,646",0.6%
El Salvador,"587,362",9.1%
Panama[f],"565,471",--
Bolivia,"385,889",3.3%
Ecuador,"377,199",2.1%
Slovenia,"380,083",18.3%
Bhutan,"478,879",62.1%
Ukraine,"477,831",1.1%
Ethiopia[f],"430,000",--
Senegal,"380,665",2.3%
Estonia,"289,508",21.8%
Lebanon,"217,778",3.2%
Albania[f],"350,000",--
Rwanda,"349,702",2.7%
Uzbekistan,"335,610",1.0%
Maldives,"283,973",52.5%
Zimbabwe,"280,568",1.9%
South Africa,"292,623",0.5%
Malta,"195,071",44.2%
Tunisia,"239,398",2.0%
Malawi,"258,107",1.4%
Venezuela,"250,000",0.9%
Angola,"245,442",0.8%
Uganda,"239,617",0.5%
Latvia,"190,595",10.1%
Oman,"198,563",3.9%
Cyprus,"145,357",16.6%
Iraq,"197,914",0.5%
Palestine,"166,849",3.3%
New Zealand,"140,580",2.9%
Luxembourg,"119,259",19.1%
Togo,"160,000",1.9%
Guatemala,"157,092",0.9%
Egypt,"148,987",0.1%
Laos,"106,105",1.5%
Jamaica,"135,473",4.6%
Afghanistan,"120,000",0.3%
Mauritius,"117,323",9.2%
Seychelles,"66,433",67.5%
Guinea,"83,035",0.6%
Northern Cyprus,"58,812",15.4%
Vietnam,"106,929",0.1%
Iceland,"70,482",20.6%
Sudan,"100,010",0.2%
Moldova,"88,824",2.2%
Ivory Coast,"94,818",0.4%
Belarus,"92,000",1.0%
Paraguay,"75,687",1.1%
Macau,"54,622",8.4%
Algeria[f],"75,000",--
Guyana,"73,000",9.3%
Jersey,"47,673",47.2%
Curaçao,"57,681",35.1%
Barbados[f],"70,758",--
Gibraltar,"35,901",106.6%
Isle of Man,"50,923",59.9%
Cayman Islands,"34,614",52.7%
Nicaragua,"61,625",0.9%
Honduras,"55,000",0.6%
Mozambique,"57,305",0.2%
Montenegro,"38,667",6.2%
Fiji,"56,000",6.2%
Bermuda,"30,094",48.3%
Guernsey,"32,969",49.2%
Equatorial Guinea,"38,024",2.7%
Sierra Leone,"42,566",0.5%
Aruba,"27,511",25.8%
North Macedonia,"41,421",2.0%
Suriname,"34,630",5.9%
Belize,"34,262",8.6%
Taiwan[f],"34,197",--
Eswatini,"31,846",2.7%
Botswana,"31,628",1.3%
Georgia,"31,019",0.8%
Antigua and Barbuda,"28,639",29.2%
Mali,"26,226",0.1%
Turks and Caicos Islands,"14,300",36.9%
Saint Lucia[f],"23,688",--
Monaco,"12,094",30.8%
San Marino,"13,460",39.7%
Andorra[f],"19,064",--
Dominica,"17,948",24.9%
Gambia,"16,735",0.7%
Trinidad and Tobago,"19,475",1.4%
Kosovo,"16,132",0.8%
Lesotho,"16,000",0.8%
Bahamas,"15,000",3.8%
Bosnia and Herzegovina[f],"15,000",--
Faroe Islands,"9,552",19.6%
Congo,"14,297",0.3%
Saint Vincent and the Grenadines[f],"12,764",--
Greenland,"7,210",12.7%
Saint Kitts and Nevis,"11,451",21.5%
Grenada,"9,821",8.7%
São Tomé and Príncipe,"9,724",4.4%
Liechtenstein,"5,876",15.4%
Anguilla,"5,835",38.9%
Gabon,"5,362",0.2%
Namibia,"4,620",0.2%
Falkland Islands,"2,632",75.6%
Saint Helena,"3,546",58.4%
Zambia,"3,391",0.0%
Mauritania,"2,930",0.1%
East Timor,"2,629",0.2%
Syria,"2,500",0.0%
Brunei,"2,323",0.5%
Cape Verde,"2,184",0.4%
Kyrgyzstan,"2,100",0.0%
Solomon Islands,"2,000",0.3%
Montserrat,"1,284",25.7%
Niger,"1,366",0.0%
Papua New Guinea,"1,081",0.0%
South Sudan,947,0.0%
Armenia,565,0.0%
Tonga,500,0.5%
Cameroon,400,0.0%
Nauru,168,1.6%
F.S. Micronesia[486],"18,760",18.1%
Marshall Islands[486],"13,984",23.9%
Palau[486],"9,328",52.1%
Vatican City[487][488],22,2.7%
"Sources
List of sources by country.
Notes

^ Latest available data as of this date. Individual country reporting frequency varies.

^ Number of unique individuals who have received at least one dose of a COVID-19 vaccine (unless noted otherwise).

^ Percentage of population that has received at least one dose of a COVID-19 vaccine.

^ May include vaccination of non-citizen workers, which can push totals beyond 100% of the local population.

^ Some countries are not yet reporting first-dose counts. Total dose counts for these countries are not included in the World total.

^ a b c d e f g h i j k l m n o p q This country's data reflects total doses administered, not the first shot only.","Sources
List of sources by country.
Notes

^ Latest available data as of this date. Individual country reporting frequency varies.

^ Number of unique individuals who have received at least one dose of a COVID-19 vaccine (unless noted otherwise).

^ Percentage of population that has received at least one dose of a COVID-19 vaccine.

^ May include vaccination of non-citizen workers, which can push totals beyond 100% of the local population.

^ Some countries are not yet reporting first-dose counts. Total dose counts for these countries are not included in the World total.

^ a b c d e f g h i j k l m n o p q This country's data reflects total doses administered, not the first shot only.","Sources
List of sources by country.
Notes

^ Latest available data as of this date. Individual country reporting frequency varies.

^ Number of unique individuals who have received at least one dose of a COVID-19 vaccine (unless noted otherwise).

^ Percentage of population that has received at least one dose of a COVID-19 vaccine.

^ May include vaccination of non-citizen workers, which can push totals beyond 100% of the local population.

^ Some countries are not yet reporting first-dose counts. Total dose counts for these countries are not included in the World total.

^ a b c d e f g h i j k l m n o p q This country's data reflects total doses administered, not the first shot only."
