location,n_vaccinated,perc_of_pop
World[e],"525,212,139",6.7%
China[f],"204,191,000",--
United States,"134,445,595",40.2%
India,"111,673,361",8.1%
EU,"88,712,448",19.9%
United Kingdom,"33,139,742",48.8%
Brazil,"24,918,188",11.7%
Germany,"17,932,380",21.4%
France,"13,018,378",19.1%
Turkey,"12,590,582",14.9%
Italy,"11,497,656",19.0%
Mexico,"11,449,064",8.9%
Indonesia,"11,302,294",4.1%
Russia,"10,520,393",7.2%
Canada,"10,184,121",26.8%
United Arab Emirates[f],"9,900,002",--
Spain,"9,886,203",21.1%
Chile,"7,817,316",40.9%
Saudi Arabia[f],"7,611,528",--
Poland,"7,079,324",18.7%
Bangladesh,"5,745,085",3.5%
Argentina,"5,722,607",12.7%
Israel,"5,369,196",62.0%
Morocco,"4,697,873",12.7%
Netherlands,"3,635,235",21.2%
Hungary,"3,419,450",35.4%
Romania,"2,801,060",14.6%
Colombia,"2,747,711",5.4%
Belgium,"2,469,557",21.3%
Serbia,"1,868,861",27.5%
Portugal,"2,065,116",20.2%
Greece,"1,876,009",18.0%
Czech Republic,"1,739,419",16.2%
Sweden,"1,943,109",19.2%
Austria,"1,871,875",20.8%
Japan,"1,527,187",1.2%
Singapore,"1,364,124",23.3%
Switzerland,"1,326,196",15.3%
South Korea,"1,903,767",3.7%
Nepal,"1,961,992",6.7%
Cambodia,"1,280,434",7.7%
Australia[f],"1,718,107",--
Denmark,"1,119,575",19.3%
Philippines,"1,397,628",1.3%
Finland,"1,430,756",25.8%
Dominican Republic,"909,898",8.4%
Uruguay,"1,091,348",31.4%
Norway,"1,088,100",20.1%
Slovakia,"987,555",18.1%
Azerbaijan,"908,672",9.0%
Qatar[f],"1,320,866",--
Peru,"763,650",2.3%
Pakistan,"1,300,000",0.6%
Ireland,"878,823",17.8%
Malaysia,"748,444",2.3%
Hong Kong,"773,927",10.3%
Bahrain,"637,548",37.5%
Nigeria,"1,133,325",0.6%
Myanmar,"1,000,000",1.8%
Sri Lanka,"925,242",4.3%
Kazakhstan,"766,614",4.1%
Ghana,"842,521",2.7%
Lithuania,"594,331",21.8%
Kuwait,"822,000",19.2%
Croatia,"578,273",14.1%
Costa Rica,"450,593",8.8%
Bulgaria,"533,316",7.7%
Thailand,"571,825",0.8%
Jordan,"543,095",5.3%
Kenya,"651,650",1.2%
Mongolia[f],"637,415",--
El Salvador,"622,912",9.6%
Iran,"480,646",0.6%
Ecuador,"421,937",2.4%
Bolivia,"400,087",3.4%
Panama[f],"574,212",--
Slovenia,"387,213",18.6%
Ukraine,"491,875",1.1%
Bhutan,"479,333",62.1%
Ethiopia[f],"430,000",--
Senegal,"380,665",2.3%
Estonia,"289,508",21.8%
Albania[f],"372,075",--
Lebanon,"224,699",3.3%
Rwanda,"349,702",2.7%
Maldives,"285,562",52.8%
Uzbekistan,"335,610",1.0%
Zimbabwe,"295,631",2.0%
Tunisia,"252,672",2.1%
South Africa,"292,623",0.5%
Malta,"198,624",45.0%
Malawi,"263,931",1.4%
Venezuela,"250,000",0.9%
Uganda[f],"245,939",--
