location,n_vaccinated,perc_of_pop
World[e],"533,975,875",6.8%
United States,"135,791,031",40.6%
China[f],"211,223,000",--
India,"113,584,269",8.2%
EU,"90,809,559",20.4%
United Kingdom,"33,257,651",49.0%
Brazil,"25,340,967",11.9%
Germany,"18,496,378",22.1%
Turkey,"12,796,678",15.2%
France,"13,265,147",19.5%
Indonesia,"11,432,711",4.2%
Russia,"10,787,419",7.4%
Italy,"11,773,361",19.5%
Mexico,"11,622,868",9.0%
Canada,"10,445,540",27.5%
Spain,"10,141,949",21.7%
United Arab Emirates[f],"10,001,241",--
Chile,"7,849,346",41.1%
Saudi Arabia[f],"7,767,501",--
Poland,"7,311,128",19.3%
Argentina,"5,851,232",12.9%
Bangladesh,"5,778,686",3.5%
Israel,"5,374,276",62.1%
Netherlands[f],"4,873,624",--
Morocco,"4,707,658",12.8%
Hungary,"3,508,846",36.3%
Romania,"2,801,060",14.6%
Colombia,"2,850,117",5.6%
Belgium,"2,538,840",21.9%
Serbia,"1,892,399",27.8%
Portugal,"2,095,098",20.6%
Czech Republic,"1,794,701",16.8%
Sweden,"2,010,951",19.9%
Greece,"1,924,630",18.5%
Austria,"1,930,800",21.4%
Japan,"1,667,994",1.3%
Singapore,"1,364,124",23.3%
South Korea,"2,035,549",4.0%
Switzerland,"1,326,196",15.3%
Nepal,"1,966,506",6.8%
Cambodia,"1,281,406",7.7%
Australia[f],"1,785,338",--
Denmark,"1,142,046",19.7%
Philippines,"1,397,628",1.3%
Finland,"1,430,756",25.8%
Uruguay,"1,100,940",31.7%
Dominican Republic,"909,898",8.4%
Norway,"1,142,793",21.1%
Slovakia,"996,484",18.2%
Azerbaijan,"917,877",9.1%
Qatar[f],"1,345,423",--
Peru,"776,743",2.4%
Pakistan,"1,300,000",0.6%
Ireland,"878,823",17.8%
Malaysia,"748,444",2.3%
Hong Kong,"789,314",10.5%
Bahrain,"642,572",37.8%
Nigeria,"1,148,168",0.6%
Myanmar,"1,000,000",1.8%
Kazakhstan,"823,498",4.4%
Sri Lanka,"925,242",4.3%
Lithuania,"610,150",22.4%
Ghana,"842,521",2.7%
Kuwait,"822,000",19.2%
Kenya,"750,471",1.4%
Croatia,"593,972",14.5%
Jordan,"607,381",6.0%
Bulgaria,"546,700",7.9%
Costa Rica,"450,593",8.8%
Iran,"518,904",0.6%
Thailand,"571,825",0.8%
Mongolia[f],"649,236",--
El Salvador,"622,912",9.6%
Bolivia,"431,138",3.7%
Ecuador,"421,937",2.4%
Slovenia,"394,990",19.0%
Panama,"369,122",8.6%
Ukraine,"508,044",1.2%
Bhutan,"479,354",62.1%
Uzbekistan,"458,555",1.4%
Ethiopia[f],"430,000",--
Angola,"395,447",1.2%
Senegal,"392,439",2.3%
Estonia,"295,744",22.3%
Albania[f],"382,998",--
Lebanon,"229,197",3.4%
Zimbabwe,"308,071",2.1%
Maldives,"287,171",53.1%
Rwanda,"349,702",2.7%
Tunisia,"265,365",2.2%
Malta,"201,860",45.7%
South Africa,"292,623",0.5%
Malawi,"267,293",1.4%
Uganda,"253,562",0.6%
Venezuela,"250,000",0.9%
Oman,"198,563",3.9%
Latvia,"205,384",10.9%
Afghanistan,"240,000",0.6%
Cyprus,"161,389",18.4%
Palestine,"167,711",3.3%
Iraq,"197,914",0.5%
New Zealand,"140,580",2.9%
Luxembourg,"123,137",19.7%
Guatemala,"160,282",0.9%
Togo,"160,000",1.9%
Egypt,"148,987",0.1%
Laos,"106,105",1.5%
Jamaica,"135,473",4.6%
Vietnam,"128,610",0.1%
Somalia,"117,567",0.7%
Mauritius,"117,323",9.2%
Seychelles,"66,433",67.5%
Guinea,"83,324",0.6%
Iceland,"80,721",23.6%
Moldova,"98,541",2.4%
Ivory Coast,"109,077",0.4%
Northern Cyprus,"58,812",15.4%
Sudan,"100,010",0.2%
Paraguay,"80,428",1.1%
Belarus,"92,000",1.0%
Macau,"56,931",8.8%
Curaçao,"62,322",38.0%
Jersey,"49,413",48.9%
Algeria[f],"75,000",--
Guyana,"73,000",9.3%
Barbados,"71,350",24.8%
Isle of Man,"52,407",61.6%
Gibraltar,"35,912",106.6%
Aruba,"45,097",42.2%
Cayman Islands,"34,786",52.9%
Nicaragua,"61,625",0.9%
Montenegro,"39,123",6.2%
Honduras,"55,000",0.6%
Mozambique,"57,305",0.2%
Fiji,"56,000",6.2%
Equatorial Guinea,"47,410",3.4%
Bermuda,"30,094",48.3%
Guernsey,"32,969",49.2%
North Macedonia,"44,974",2.2%
Sierra Leone,"42,566",0.5%
Taiwan[f],"39,221",--
Belize,"38,211",9.6%
Suriname,"35,777",6.1%
Georgia,"33,337",0.8%
Eswatini,"31,846",2.7%
Botswana,"31,628",1.3%
Antigua and Barbuda,"29,754",30.4%
Andorra,"21,733",28.1%
Mali,"26,226",0.1%
Turks and Caicos Islands,"14,300",36.9%
San Marino,"15,621",46.0%
Saint Lucia[f],"23,829",--
Monaco,"12,094",30.8%
Dominica,"17,948",24.9%
Gambia,"16,735",0.7%
Trinidad and Tobago,"16,462",1.2%
Kosovo,"16,132",0.8%
Lesotho,"16,000",0.8%
Faroe Islands,"10,282",21.0%
Bahamas,"15,000",3.8%
Bosnia and Herzegovina[f],"15,000",--
Congo,"14,297",0.3%
Saint Vincent and the Grenadines[f],"12,764",--
Greenland,"8,136",14.3%
Saint Kitts and Nevis,"11,451",21.5%
Djibouti,"10,246",1.0%
Grenada,"9,821",8.7%
São Tomé and Príncipe,"9,724",4.4%
Liechtenstein,"5,876",15.4%
Anguilla,"5,835",38.9%
Gabon,"5,362",0.2%
Namibia,"4,620",0.2%
Saint Helena,"3,563",58.7%
Falkland Islands,"2,632",75.6%
Zambia,"3,391",0.0%
Mauritania,"2,930",0.1%
East Timor,"2,629",0.2%
Syria,"2,500",0.0%
Brunei,"2,323",0.5%
Cape Verde,"2,184",0.4%
Kyrgyzstan,"2,100",0.0%
Solomon Islands,"2,000",0.3%
Montserrat,"1,284",25.7%
Niger,"1,366",0.0%
Papua New Guinea,"1,081",0.0%
South Sudan,947,0.0%
Libya,750,0.0%
Armenia,565,0.0%
Tonga,500,0.5%
Cameroon,400,0.0%
Nauru,168,1.6%
F.S. Micronesia[492],"19,340",18.7%
Marshall Islands[492],"14,073",24.1%
Palau[492],"10,213",57.0%
Vatican City[493][494],22,2.7%
"Sources
List of sources by country.
Notes

^ Latest available data as of this date. Individual country reporting frequency varies.

^ Number of unique individuals who have received at least one dose of a COVID-19 vaccine (unless noted otherwise).

^ Percentage of population that has received at least one dose of a COVID-19 vaccine.

^ May include vaccination of non-citizen workers, which can push totals beyond 100% of the local population.

^ Some countries are not yet reporting first-dose counts. Total dose counts for these countries are not included in the World total.

^ a b c d e f g h i j k l m n This country's data reflects total doses administered, not the first shot only.","Sources
List of sources by country.
Notes

^ Latest available data as of this date. Individual country reporting frequency varies.

^ Number of unique individuals who have received at least one dose of a COVID-19 vaccine (unless noted otherwise).

^ Percentage of population that has received at least one dose of a COVID-19 vaccine.

^ May include vaccination of non-citizen workers, which can push totals beyond 100% of the local population.

^ Some countries are not yet reporting first-dose counts. Total dose counts for these countries are not included in the World total.

^ a b c d e f g h i j k l m n This country's data reflects total doses administered, not the first shot only.","Sources
List of sources by country.
Notes

^ Latest available data as of this date. Individual country reporting frequency varies.

^ Number of unique individuals who have received at least one dose of a COVID-19 vaccine (unless noted otherwise).

^ Percentage of population that has received at least one dose of a COVID-19 vaccine.

^ May include vaccination of non-citizen workers, which can push totals beyond 100% of the local population.

^ Some countries are not yet reporting first-dose counts. Total dose counts for these countries are not included in the World total.

^ a b c d e f g h i j k l m n This country's data reflects total doses administered, not the first shot only."
